word,meaning
considerable,중요한, 고려되어야 할 적지 않은, 상당한, 꽤 많은
console,위로하다, 위문하다; 대형 TV등의 캐비넷, 콘솔
consonant,일치하는, 조화하는; 자음
conspicuous,눈에 잘 띄는, 두드러진, 뛰어난
constructive,건설적인
consumption,소비, 소비량; 폐결핵
contagious,접촉 전염성의
contaminate,더럽히다. 오염시키다; 타락시키다
contemplate,심사숙고하다; 을 감상하다; 응시하다
contemporary,현대의, 당대의; 같은 시대의 같은 연령의; 같은 시대의 사람
contempt,경멸, 멸시; 모욕
contentious,다투기 좋아하는, 논쟁하기 좋아하는; 논쟁을 불러 일으키는
context,문맥, 전후관계
continually,계속적으로, 끊임없이, 줄곧; 빈번히, 자주
contract,수축하다: 계약하다: 에 걸리다; 계약, 협정, 협약
contradict,부정하다. 부인하다; 반박하다. 항변하다; 모순되다
contrary,반대하는; 반대, 정반대; 반대하다
contribute,기여하다. 공헌하다; 기부하다. 주다: 기고하다
contrite,죄를 뉘우치고 있는, 회개하는
conventional,관습적인, 전통적인: 틀에 박힌, 형식적인
converge,모이다. 집중하다
conviction,유죄판결; 신념, 확신
convince,확신시키다. 납득시키다. 수긍하게 하다
cooperate,협력하다. 협동하다
copious,풍부한, 막대한; 다작의
