word,meaning
equivocal,"두가지 뜻으로 해석되는 모호한, 분명치 않은"
eradicate,"뿌리 채 뽑다, 박멸하다, 근절하다"
erode,"부식하다, 좀먹다, 침식하다"
erudite,"학식 있는, 박식한; 박식한 사람"
esthetic,"미의, 심미적인"
estrangement,"이간, 불화, 소외"
eternal,"영원한, 불후의, 불변의"
euthanasia,"안락사"
evacuate,"을 비우다; 소개시키다, 대피시키다; 를 철수하다"
evade,"피하다, 면하다, 모면하다"
evaporate,"을 증발시키다; 증발하다"
evince,"명시하다, 나타내다, 밝히다"
evoke,"를 되살리다, 환기하다; 을 불러내다"
evolve,"를 서서히 발전시키다; 발전하다: 진화하다"
exaggerate,"지나치게 강조하다, 과장하다; 을 악화시키다"
exasperate,"격분시키다, 분개하게 하다"
exceed,"를 넘다, 초과하다; 우월하다, 능가하다"
exclude,"제외하다, 배제하다; 쫓아내다, 제명하다, 추방하다"
excoriate,"를 혹평하다; 을 벗기다"
excretion,"배설, 배출, 분비; 배설물"
exemplary,"본이 되는, 모범적인; 경고가 되는"
exempt,"을 면제하다; 면제된; 을 면제받은 사람"
exert,"열심히 노력하다, 분투하다; 을 가하다"
exhaustively,"철저하게, 남김없이, 속속들이"
exhilarate,"기분을 들뜨게 하다"
