word,meaning
disregard,"무시하다, 소홀히 하다; 무시, 경시"
disrupt,"을 붕괴시키다; 혼란시키다; 분열"
disseminate,"흩뿌리다, 을 퍼뜨리다"
dissipate,"흩어지게 하다; 을 가시게 하다"
dissuade,"그만두게 하다, 단념시키다"
distill,"증류하다, 증류하여 불순물을 제거하다; 뽑아내다"
distorted,"일그러진, 비틀린; 곡해된, 왜곡된"
distraction,"기분전환, 오락"
distribute,"분배하다, 배당하다; 퍼뜨리다, 뿌리다"
divergent,"갈라지는, 분기하는; 나뉘는"
diversity,"다양성; 차이점"
divulge,"를 누설하다"
docile,"온순한, 유순한: 다루기 쉬운"
dodge,"을 교묘히 회피하다; 피하다"
domestic,"국내의, 국산의; 가정의, 가정적인; 사육되는, 길든; 하인, 하녀"
dominate,"지배하다, 위압하다; 우위를 차지하다, 우세하다"
donate,"기부하다"
dormant,"휴면상태의, 잠자는것 같은"
dose,"1회 복용량, 한 첩"
drastic,"격렬한, 맹렬한; 철저한, 과감한; 극약"
drench,"흠뻑 물에 적시다, 물에 담그다; 호우, 폭우"
drizzle,"이슬비가 내리다; 이슬비, 보슬비"
drowsy,"졸리는, 꾸벅꾸벅 조는; 활기가 없는, 둔한"
drudgery,"고된 일, 싫은 일"
dwindle,"줄이다"
