word,meaning
desultory,"종잡을 수 없는, 산만한, 주제를 벗어난"
detach,"떼어내다, 분리시키다; 을 파견하다"
detain,"기다리게 하다, 붙들어 두다; 구류하다, 유치하다; 구금, 구류"
deter,"방해하다; 그만두게하다, 단념시키다"
deteriorate,"을 나쁘게 하다, 악화시키다; 타락시키다; 나빠지다, 악화하다, 타락하다"
detest,"혐오하다, 몹시 싫어하다"
detrimental,"손해를 입히는, 불이익의; 해로운 사람"
devaluate,"가치를 감소시키다: 평가 절하하다; 가치가 떨어지다"
devastate,"황폐화시키다"
deviate,"벗어나다, 일탈하다; 빗나가게 하다, 벗어나게 하다; 비정상적인 사람; 성도착자"
devour,"게걸스레 먹다, 탐식하다; 탐독하다"
diagnosis,"진찰, 진단; 진단, 분석"
dialect,"방언"
dichotomy,"이분법: 이분, 양분"
differentiate,"구별 짓다, 차별하다; 변이시키다"
diffuse,"퍼뜨리다, 보급시키다; 을 발산하다; 널리 퍼진, 흩어진"
digressive,"주제를 벗어나기 쉬운 탈선하기 쉬운; 지엽적인"
dilapidate,"을 헐다: 황폐하게 하다"
dilate,"넓히다, 팽창시키다; 넓어지다, 팽창하다"
dilute,"묽게하다, 붉어지다: 희석하다; 약해지다; 묽게 한, 희석한, 붉은"
disabled,"지체부자유가 된, 신체장애의; 신체장애자"
disavow,"부정하다, 부인하다, 거부하다"
disappear,"사라지다, 모습을 감추다; 소멸하다"
disappoint,"실망시키다, 기대에 어긋나다"
disband,"를 해산시키다; 해산하다"
