word,meaning
relegate,내쫓다. 추방하다: 좌천시키다; 이관하다. 위탁하다
relevant,관련된; 적절한, 타당한
relinquish,그만두다. 버리다; 포기하다; 양도하다
reluctant,마음 내키지 않는 마지못해 하는
remit,보내다. 송금하다; 용서하다; 면제 경감하다
remuneration,보수, 보상: 급여
repeal,무효로 하다. 폐지하다
replenish,다시 채우다. 보충하다: 공급하다
reprimand,꾸짖다. 질책하다: 견책징계하다
requisite,필요한, 필수의, 없어서는 안될
resentment,분개, 분노; 원한; 적의
reserve,남겨 두다. 보존하다; 확보하다. 보유하다; 예약해 두다. 지정하다; 준비금, 적립금: 비축, 보존물; 보류, 유보 지정 보호구역: 예비군, 후보선수
resolve,결심하다: 결의하다. 의결하다; 풀다. 해결하다: 해명하다
respect,존경, 경의; 존중, 중시 주의, 관심, 고려; 존경하다
restrain,억제하다. 누르다; 단념시키다
retain,보유하다. 유지하다; 존속시키다; 간직하다; 고용하다
retaliate,보복하다. 앙갚음하다
retract,취소하다. 철회하다; 움츠리다
retrieve,되찾다. 회수하다: 만회하다. 회복하다; 갱생 부활시키다
retrospect,회고 회상하다. 추억에 잠기다; 회고; 추억
revenue,세입; 수익, 수입; 총수입, 재원
reverse,역, 반대 뒤, 배후: 불운, 실패; 후진; 거꾸로의, 반대의 뒤의 배후의 후진용의; 거꾸로 하다: 뒤집다: 역전시키다 번복하다
revision,개정, 교정, 수정, 정정; 수정한 것: 개정판, 교정본, 개역
revulsion,강한 혐오감, 반감
