word,meaning
proverb,"속담, 격언: 금언, 교훈"
prowess,"훌륭한 솜씨; 용감, 용맹: 용감한 행위"
prudent,"조심성 있는 신중한; 사려 깊은, 분별 있는"
psyche,"영혼, 정신"
punctual,"시간을 잘 지키는, 에 늦지 않는"
rampant,"만연하는, 무성한, 우거진; 사나운, 광포한, 과격한"
rancid,"썩은 냄새 맛가 나는; 악취가 나는"
ratify,"인가 승인하다: 비준하다"
reaffirm,"재차 단언 시인, 확인하다"
rebellious,"반항하는; 반체제의 반란하는"
rebuke,"비난하다, 꾸짖다; 비난, 힐책"
recall,"상기하다, 생각해내다: 연상시키다; 상기, 회상"
recess,"일시적인 휴식: 휴가"
reclaim,"개간하다: 메우다, 간척하다; 교정하다; 이용하다; 재생하다"
reconcile,"화해시키다, 융화시키다: 조화시키다"
recuperate,"회복하다; 회복하다"
recurring,"되풀이해서 일어나는, 회귀하는"
redeem,"교환하다, 환전하다; 상품으로 바꾸다"
redress,"보상, 배상; 시정, 교정; 배상하다, 부정을 바로잡다"
redundant,"여분의, 과다한 풍부한, 남아도는"
refined,"세련된, 품위 있는, 우아한"
refrain,"그만두다, 삼가다, 자제하다; 후렴, 반복구"
refute,"논박하다, 반박하다"
reimburse,"상환하다, 변제하다; 변상배상하다"
reiterate,"되풀이하다, 반복하다"
