word,meaning
stale,"싱싱하지 못한: 김빠진; 진부한 케케묵은"
staple,"요소; 원료, 재료, 주성분 요강; 기본적인, 주요한, 중요한; 대량생산의"
stature,"키, 신장; 사물의 높이; 지위나 명성, 중요성"
stem,"생기다, 일어나다, 유래하다; 줄기, 잎자루, 꽃자루, 열매 꼭지; 종족, 혈통"
stigma,"치욕, 오명: 오점; 반점, 흉터: 낙인"
strain,"잡아 당기다: 긴장하다; 힘껏 노력하다, 애쓰다: 반발하다; 잡아당기다, 긴장시키다: 무리를 하다; 팽팽함, 긴장; 피로, 피곤"
streamline,"간소화하다, 현대화하다; 유선형의"
strenuous,"분투적인, 불굴의, 굽히지 않는"
striking,"이목주의을 끄는, 두드러진; 인상적인"
stringent,"엄중한, 엄격한"
stumble,"비틀거리다, 비틀거리며 걷다; 더듬다; 실수하다"
subliminal,"의식되지 않는 잠재의식의"
submit,"제출하다: 기탁하다: 맡기다; 복종하다: 따르다"
subsequent,"다음의, 그 후의: 버금가는; 수반하는"
subsidize,"보조 장려금을 지급하다"
substantial,"실질적인, 실속 있는, 중요한"
subtle,"미묘한, 미세한; 묽은, 희박한 불가사의한, 신비한 솜씨 좋은, 정교한"
succinct,"간결한, 간명한"
succulent,"즙이 많은, 물기가 많은; 신선한"
superficial,"깊이가 없는, 얕은, 천박한; 피상적인, 표면상의"
supplant,"대체하다: 대신하다"
suppress,"억압 진압하다; 억누르다, 참다; 발매 금지하다"
surreptitious,"비밀의, 몰래 하는, 은밀한"
surveillance,"감시, 망보기; 감독, 지휘"
susceptible,"받기 쉬운, 감염되기 쉬운; 감수성이 강한, 민감한"
