word,meaning
habitable,거주할 수 있는, 거주하기에 적당한
haggard,여윈, 수척한, 초췌한; 야생의 매, 사나운 매
hail,환호하며 맞이하다. 환영하다; 큰소리로 부르다. 불러 세우다: 소리치다; 싸락눈, 우박
hallow,신성하게 하다: 신에게 바치다
hamlet,작은 마을, 촌락, 소부락
hammer out,애써 생각해 내다: 머리를 짜내 풀다: 망치로 두드려 을 만들다
hamper,방해하다. 훼방놓다; 제한하다; 방해, 구속, 족쇄
haphazard,아무렇게나 하는 계획성 없는; 우연의; 단순한 우연
harassing,괴롭히는, 귀찮게 구는
harness,동력화하다. 이용하다; 마구: 장치, 작업 설비
harsh,거친, 난폭한; 가혹한, 엄한; 귀에 거슬리는
haughty,오만한, 거만한, 건방진, 불손한
havoc,파괴, 황폐; 대혼란, 무질서; 크게 파괴하다. 황폐화하다
hefty,크고 무거운, 육중한 많은; 크고 억센 힘이 있는
helm,지배, 지도; 지배적 지위; 타륜: 조타 장치
hereditary,유전성의, 유전하는, 유전적인
hectic,흥분시키는; 아주 바쁜; 피로를 낳는, 소모성의, 결핵성의; 홍조; 소모열, 폐결핵
hideous,소름끼치는, 섬뜩한, 무서운; 극악한: 괘씸한, 가증스러운
hierarchy,계급제도, 계층제, 서열
hinder,방해하다. 저지하다: 훼방하다. 막다
homogeneous,같은 종류의 것으로 된, 동종의, 균질의
horizontal,수평면의 평면의, 수평한
horn,뿔; 촉수; 경적
horrid,아주 싫은, 역겨운; 무시무시한, 꺼림칙한
hospitable,손님 접대를 잘하는, 환대하는: 친절한
