word,meaning
discard,"을 버리다, 포기하다; 을 저버리다; 해고하다; 포기, 해고"
discernible,"인식할 수 있는"
discharge,"해고하다, 면직시키다; 제대시키다; 해방하다; 을 내리다, 내리다; 배출하다"
disciplinary,"훈련상의, 훈육의, 훈계의: 규율상의 징계의"
disclaim,"부인하다; 거부하다; 포기하다"
discomfit,"계획을 좌절시키다: 당황시키다; 타파하다, 패퇴시키다"
discord,"조화되지 않다; 불일치; 알력, 의견 충돌; 불협화음"
discreet,"사려있는, 신중한; 예의바른"
discrepancy,"모순, 불일치; 차이점, 불일치점"
discrimination,"구별, 식별; 식별력, 판별력, 안목; 차별, 차별 대우"
disdain,"경멸하다, 멸시하다"
disentangle,"얽힌 것을 풀다; 해방되다"
disgrace,"불명예, 망신, 치욕; 수치가 되다, 을 더럽히다"
disintegration,"분해, 붕괴; 분해하다, 붕괴시키다"
dismal,"음침한, 우울한; 쓸쓸한, 황량한"
dismay,"실망시키다; 당황케 하다; 당황; 대단한 놀람"
dismiss,"해고하다, 내쫓다; 을 지우다, 잊어버리다; 기각하다"
disoriented,"방향감각을 잃은, 정신적 혼란에 빠진"
disparage,"얕보다, 깔보다, 경시하다"
disparity,"서로 다름, 상이, 부등"
dispel,"을 헤쳐 없애다; 을 쫓아버리다"
dispense,"분배하다, 나누어주다"
disperse,"흩뜨리다, 퍼뜨리다, 전파시키다; 해산하다"
dispose,"배치하다, 배열하다; 하는 경향이 있다, 할 마음이 나게 하다: 처리하다, 처분하다"
disqualify,"실격시키다, 부적임자로 판정하다"
