word,meaning
blunder,"큰 실수, 실책; 큰 실수를 저지르다, 을 그르치다, 을 무심코 입밖에 내다"
blunt,"무딘, 뭉뚝한; 퉁명스러운, 무뚝뚝한"
blur,"흐림, 침침함: 번진자국, 더러움, 때; 흐리게 하다"
blush,"붉어지다; 부끄러워하다; 부끄러움, 수줍음: 홍조"
bluster,"휘몰아치다; 고함치다; 휘몰아침"
bolster,"보강하다, 지지하다; 덧베개, 받침대"
bombshell,"깜짝 놀라게 하는 일; 폭탄, 포탄"
bondage,"속박, 굴레, 감금, 굴종; 노예의 신분"
boost,"경기를 부양하다; 선전하다; 증대시키다; 후원, 격려"
bout,"한바탕, 한차례, 일시적인 기간; 시합, 한판 승부: 발작"
breed,"를 낳다, 을 까다; 을 만들어내다, 개량하다; 종; 품종"
brevity,"간결; 짧음, 순간"
brilliant,"빛나는, 눈부신; 훌륭한, 멋진"
brink,"가장자리, 끝: 위거, 중대한 국면"
bristle,"성내다; 털이 곤두서다; 돼지 등의 뻣뻣한 털"
brittle,"부서지기 쉬운, 깨지기 쉬운; 상처입기 쉬운"
bulky,"부피가 큰; 커서 다루기 힘든"
bourgeon,"갑자기 출현하다; 싹이 트다, 눈이 나오다; 눈, 새싹"
bustle,"부산하게 움직이다, 바쁘게 일하다: 재촉하다; 활기, 붐빔"
buttress,"을 지지하다; 을 강화하다; 버팀벽, 지지물"
cadaverous,"시체와 같은, 창백한, 수척한"
caliber,"재능, 도량, 인품; 사물의 품질; 직경: 구경"
callous,"무감각한, 냉정한, 냉담한; 굳어진, 못 박힌"
candid,"솔직한, 숨김없는, 거리낌 없는; 공정한, 공평한"
candor,"솔직, 정직; 공평, 공명정대"
