word,meaning
capacity,"능력, 정신능력; 포용력, 수용력, 도량"
capitalize,"이용하다, 기회로 삼다; 자본화하다, 투자하다: 을 이용하다; 대문자로 쓰다"
capitulate,"항복하다"
capricious,"변덕스러운"
carnivorous,"육식성의, 육식동물의"
catastrophe,"큰 재해, 대참사; 파국, 비극적 결말; 대실패"
catchy,"변덕스러운; 사람의 마음을 끄는, 매력 있는"
caviler,"트집쟁이"
censure,"비난, 책망; 비난하다, 책망하다; 혹평하다"
chagrin,"억울하게 하다, 분하게 하다; 억울함, 원통함, 분함"
chilling,"쌀쌀한; 냉정한; 무서운"
chronic,"상습적인, 오래 끄는; 고질적인, 만성적인; 만성병 환자"
circulate,"돌다, 순환하다; 돌다, 퍼지다: 유포하다, 배포하다"
circumspect,"용의주도한, 신중한"
circumvent,"회피하다; 속이다; 을 돌다, 우회하다"
cite,"인용하다; 소환하다"
clandestine,"은밀한, 암암리의, 남몰래 하는"
classificaiton,"분류법, 범주, 유형"
claustrophobic,"밀실공포증 환자"
clement,"온화한, 관대한; 온화한, 따뜻한"
clog,"방해하다; 우울하게 하다 괴롭히다"
cluster,"밀집시키다, 떼짓게 하다; 떼 짓다, 밀집하다; 송이, 다발; 무리"
coalition,"연합, 합동, 제휴"
codify,"법전으로 편찬하다, 성문화하다; 체계적으로 정리하다"
coerce,"강제하다, 위압하다, 강요하다; 억압하다, 구속하다"
