word,meaning
incidence,발생, 범위, 발생률
inconsistent,일치하지 않는, 조화되지 않는 모순된
incontrovertible,논쟁의 여지가 없이 명백한
increment,증가, 증대; 증가량, 증액; 이익, 이윤, 이득
incumbent,의무가 있는, 의무로서 지워지는
incurable,불치의 교정 불능의
indelible,지울 수 없는; 잊혀지지 않는
indifferent,무관심한, 냉담한, 개의치 않는; 사심이 없는, 공평한, 중립의
indigenous,토착의, 지역 고유의 원산의
indignation,분개, 분노
indolent,게으른; 무활동의
induce,권유하다: 설득하여 시키다; 일으키다. 야기하다. 유발하다
inept,서투른; 부적당한, 부적절한
inertia,활발치 못함, 굽뜸
inevitable,피할 수 없는, 면하기 어려운, 부득이한; 피할 수 없는 일
inexorable,냉혹무정한, 용서 없는
infer,추론하다. 추단하다. 추측하다
infinite,무한한, 무궁한: 끝없는; 무한한 것; 무한대
infraction,위반, 반칙; 침해, 침범
inhibition,금지, 금제; 억제, 억압
initially,처음에, 시초에
innate,타고난, 천부의, 선천적인; 고유의, 본질적인
innocuous,해가 없는, 독이 없는
innovation,혁신, 쇄신, 기술 혁신
innuendo,풍자, 빈정대는 말; 주석, 설명조항
