word,meaning
keen,"열심인, 열중한; 열망하는; 날카로운; 예리한"
kidnap,"유괴하다"
knockabout,"소형 요트; 소형 실용차; 소란한, 법석떠는; 막일할때 입는"
kitschy,"천박한; 대중에게 영합하는"
knowingly,"알고서, 고의로; 아는 듯이, 아는 체하고; 빈틈없이"
laconic,"간결한, 간명한; 말수가 적은"
languid,"나른한, 축 늘어진; 활기가 없는; 마음이 내키지 않는, 열의가 없는"
lapse,"시간의 경과, 추이: 실책, 사소한 과실: 일탈, 타락; 시간이 경과하다: 실수하다: 일탈하다: 소멸하다"
latent,"숨은, 잠재한; 잠복해 있는; 잠재성의: 휴면의"
laudatory,"칭찬의"
lavish,"낭비벽이 있는, 사치스런; 무절제한; 아끼지 않는, 후한; 풍부한, 충분한, 넉넉한 남아도는"
leftover,"나머지, 찌꺼기, 남은 음식; 나머지의, 남은"
legible,"읽기 쉬운, 판독할 수 있는"
legitimate,"합법적인, 적법의, 정당한"
lenient,"너그러운, 인자한, 다정한, 관대한"
lethal,"치명적인: 죽음에 이르는, 치사의"
lethargic,"무기력한, 활발하지 못한: 혼수 상태의"
liability,"부채, 채무, 빛; 책임, 책무, 의무"
libel,"중상, 비방, 모욕하는 것; 중상하다"
linguist,"언어학자; 외국어에 능통한 사람"
literacy,"읽고 쓰는 능력: 교양 있음, 교육 받음"
litigate,"소송을 제기하다: 법정에서 다투다; 논쟁하다"
liver,"간장, 간"
loathe,"몹시 싫어하다: 질색하다"
longevity,"장수; 수명"
