word,meaning
pathetic,측은한, 불쌍한; 감상적인, 감동적인
pensive,생각에 잠긴, 곰곰이 생각하는; 시름에 젖은
perfunctory,마지못해 하는, 형식적인; 기계적인: 열의가 없는
periphery,소수파, 야당; 주변, 주위 교외; 원주, 바깥둘레
perjury,위증; 위증죄
permeation,침투, 삼투, 녹아 들어감
perspicuous,명쾌한, 명료한
pertinent,적절한, 딱 들어맞는; 관련된 ..에 속하는
pervasive,널리 퍼지는; 보급력이 있는
petrify,돌처럼 굳게 하다: 석질로 만들다; 무감각하게 하다: 경직시키다
pivotal,중추적인, 중요한; 회전축의
placate,달래다. 위로하다. 진정시키다
placid,평온한, 잔잔한: 조용한, 차분한
plagiarism,표절, 도용: 표절 행위, 표절물
plausible,그럴듯한, 정말 같은
plight,곤경, 궁지, 어려운 상태
portable,들고 다닐 수 있는, 휴대용의, 간편한; 휴대용 기구
posthumous,사후의, 사후에 생긴; 저자의 사후 출판된
posture,자세; 몸가짐; 마음가짐; 자세를 취하(게하)다
potent,강력한, 유력한, 힘센 영향력이 있는
pragmatic,실용적인, 실용주의의
precarious,불확실한, 운에 맡기는; 위험한
precedent,선례, 전례; 관례: 이전의 선행하는, 앞선
precipitate,마구 재촉하다. 촉진시키다
precise,정확한, 정밀한 명확한
