word,meaning
sinister,"불길한, 재수없는; 재앙이 되는; 사악한"
skeptical,"의심 많은; 회의적인"
skim,"대충 읽다; 스쳐가다, 미끄러지듯 나아가다"
slack,"느려지다; 게을리하다; 느슨한, 늘어진: 부주의한; 굼뜬, 꾸물거리는"
slander,"중상, 욕설: 명예 훼손; 중상하다, 의 명예를 훼손하다"
slovenly,"부주의한: 단정치 못한; 게으른"
sluggish,"느린, 완만한; 게으른"
smother,"숨이 막히게 하다: 질식시키다; 덮어서 끄다: 감정을 억누르다; 짙은 연기, 농무: 큰소동, 대혼란"
smuggle,"밀수입 수출하다, 밀수하다"
sober,"술 취하지 않은 절제하는: 침착한, 엄숙한"
sojourn,"묵다, 체류하다; 일시 체재하다; 일시적인 체류, 체제"
solemn,"엄숙한 진지한 근엄한, 장엄한; 격식을 차린"
solicit,"간청하다, 요청하다: 권유하다; 부추기다: 손님을 끌다"
solidify,"굳히다: 굳어지다"
specific,"명확한, 구체적인; 특정한; 특성, 특질; 명세서: 상세"
spectacular,"구경거리의; 장관인, 볼 만한; 극적인"
speculate,"사색하다, 깊이 생각하다; 추측하다; 투기하다, 투기 매매하다"
spell,"차례, 순번, 교대 근무시간; 주문, 주술; 철자하다...라고 읽다"
spinach,"시금치: 필요없는 것"
spoil,"망치다, 상하게 하다, 못쓰게 만들다; 응석을 받아주다, 버릇없이 기르다; 전리품, 노획품: 관직, 이권"
spontaneous,"자연히 일어나는, 무의식적인; 충동적인; 자발적인: 임의의"
sporadic,"때때로 일어나는: 산재하는, 드문 드문한"
spot,"얼룩점, 반점, 점; 장소, 지점, 현장, 관광지; 더럽히다: 발견하다, 분별하다"
squalid,"더러운, 불결한, 궁상스런"
staggering,"혼비백산케 하는, 압도적인; 비틀거리는, 비틀거리게 하는; 망설이는"
