word,meaning
intimate,"암시하다, 넌지시 알리다; 친밀한, 친숙한; 마음속으로부터의; 친한 친구"
intimidate,"협박 위협하다"
intrepid,"용맹한, 대담한: 무서움을 모르는"
intricate,"얽힌, 복잡한 난해한; 얽히게 하다"
intrigue,"당혹케 하다, 어찌할 바를 모르게 하다; 호기심을 자극하다, 흥미를 돋우다; 음모를 꾸미다, 술책을 부리다; 음모, 계략, 밀통; 간통"
intrinsic,"본래 갖추어진, 고유의, 내재하는, 본질적인"
inundate,"범람시키다, 물에 잠기게 하다; 몰려오다, 밀어 닥치다"
inure,"익히다, 단련하다"
invalid,"병약한: 허약한 환자용의; 타당하지 않은, 근거가 박약한; 실효성이 없는: 무효의; 환자, 병약자"
invaluable,"값을 헤아릴 수 없는, 매우 귀중한"
investigate,"조사하다, 수사하다, 연구하다"
invigorating,"거운나게 하는, 상쾌하게 하는 격려의"
invincible,"정복할 수 없는, 장애를 극복할 수 없는; 무적의"
involved,"복잡한, 뒤얽힌: 혼란한; 깊이 관련된, 말려든"
iridescence,"무지개빛"
ironic,"반어적인, 풍자적인 빈정대는, 비꼬는"
irreparable,"고칠 수 없는, 치료할 수 없는"
irreplaceable,"바꿀 수 없는, 대체교환할 수 없는"
irrigate,"물을 대다, 관개하다; 생명을 주다, 비옥하게 하다"
isolate,"고립시키다, 격리 분리시키다"
jack up,"잭으로 들어 올리다"
jaundiced,"편견을 가진; 비뚤어진"
jeopardy,"위험, 위난; 위험성"
jot,"간단히 적어두다, 메모하다; 적음, 조금"
judicious,"사려 분별이 있는, 현명한, 사려 깊은"
