word,meaning
deliberate,"신중한, 생각이 깊은, 사려 깊은; 고의의, 계획적인; 심사숙고하다"
delineate,"윤곽을 그리다: 묘사하다"
delinquent,"비행을 저지른; 직무 태만의; 체납된; 태만자"
delusive,"현혹적인, 착각하게 하는, 망상적인; 거짓의, 가공의"
delve,"철저하게 조사하다, 깊이 탐구하다; 샅샅이 뒤지다; 땅을 파다; 동굴"
demise,"서거, 사망, 죽음; 유증, 권리양도; 양도하다: 유증하다: 사망하다"
demolish,"을 파괴하다, 헐다"
demonstrate,"시위를 하다: 논증하다; 을 표시하다"
denounce,"비난하다; 탄핵하다, 고발하다"
dent,"움푹 들어간 곳, 맞은 자국; 약간의 진전; 움푹 들어가게 하다"
dependable,"신뢰할 수 있는, 의지 할 수 있는"
deplete,"다 써버리다, 고갈시키다"
deplorable,"통탄할, 한탄스러운"
depredation,"약탈; 파괴의 흔적; 강탈하다"
deride,"비웃다, 바보취급하다"
descendant,"자손, 후예"
descry,"을 찾아내다, 알아보다"
desecrate,"신성을 모독하다, 을 속되게 쓰다"
desert,"사막, 황야; 버리다, 유기하다"
designate,"지명하다, 선정하다, 임명하다: 명시하다 가리키다, 지적하다; 지정을 받은, 지정된"
desolate,"황량한; 우울한; 황폐화시키다, 사람을 돌보지 않다"
desperate,"절망적인, 자포자기한; 필사적인, 목숨을 건"
despondent,"의기소침한, 낙담한, 실망한"
despotic,"전제적인, 전제정치의 횡포한"
destitute,"빈곤한, 극빈의"
