word,meaning
ban,금지하다; 금지; 파문, 추방
banal,진부한, 상투적인
barely,거의~않다; 간신히, 겨우, 가까스로
bargain,싸게 산 물건, 턱없이 쌈; 매매계약, 거래; 흥정하다, 값을 깎다; 교환하다
beat-up,지친, 녹초가 된; 물건이 써서 낡은, 못쓰게 된
becoming,어울리는; 알맞은, 적절한
beef-up,증강, 보강
bellicose,호전적인, 싸우기 좋아하는
benediction,축복; 감사기도
benefactor,후원자; 선행자
benevolent,인자한, 자비로운
benign,상냥한, 친절한, 자애로운; 좋은, 온화한
bent,기호, 성향, 성벽, 성질: 경향
beset,괴롭히다; 에워싸다, 포위하다; 습격하다; 장식하다
besiege,포위하다. 둘러싸다; 쇄도하다: 공격하다; 괴롭히다
beverage,마실 것, 음료
biennially,2년마다
bigotry,편협, 편협한 행위; 고집불통
bizarre,별난, 기묘한, 기괴한
balck out,정전, 등화관제; 기억상실; 보도관제, 보도제한
blanch,희게 하다. 표백하다; 창백하게하다
blast,돌풍; 폭발; 호되게 야단치다: 경적을 울리다
bleak,적막한, 쓸쓸한, 황량한; 차가운
blemish,오점, 결점; 을 더럽히다. 을 손상시키다
blithe,즐거운, 유쾌한, 명랑한; 분별없는, 부주의한
