word,meaning
inordinate,"지나친, 과도한 무절제한"
inquisitive,"탐구적인, 알고 싶어하는, 호기심이 강한; 꼬치꼬치 캐묻기 좋아하는; 호기심이 강한 사람"
ins and outs,"세부곡절, 자초지종; 여당과 야당: 도로 등이 꼬불꼬불함"
insatiable,"만족할 줄 모르는, 탐욕스러운"
insidious,"잠행성의; 교활한, 음흉한"
insight,"통찰력, 식견"
insignificance,"무의미, 무가치; 사소한 일, 하찮음"
insincere,"성의 없는, 성실치 못한 위선의"
insolvent,"지불 불능한, 파산의; 지불 불능자, 파산자"
inspect,"세심하게 조사하다, 점검하다; 시찰하다, 검열하다: 사열하다"
inspiration,"자극, 고취, 고무, 격려; 영감; 기발한 착상: 영감을 주는 사람"
instantaneous,"순간의, 즉시의, 즉시 일어나는; 동시에 일어나는, 동시적인"
instill,"주입하다 스며들게 하다; 한방울씩 떨어 뜨리다"
insulated,"격리된: 절연된"
insuperable,"극복하기 어려운; 무적의"
intact,"손대지 않은, 손상되지 않은, 완전한"
intellectual,"지적인, 머리를 쓰는; 지력이 발달한; 지식인, 식자"
intent,"의도, 의향; 목적, 계획: 의미, 취지; 집중된 열심인"
intermediate,"중간의; 중간에 일어나는; 중간물, 중재자; 매개, 수단; 중간에 끼다: 중재하다, 중개하다"
interminable,"끝없는, 한없는 그칠 줄 모르는"
intermittent,"간헐적인, 때때로의; 단속적인"
internment,"유치, 억류, 수용"
interrupt,"중단시키다, 방해하다, 가로막다, 저지하다; 중단하다"
intertwine,"서로 얽히게 하다"
intervene,"중재하다: 간섭하다, 개입하다"
