word,meaning
coherent,일관성 있는, 조리가 선; 서로 밀착되어 있는, 응집성의
coincide,동시에 일어나다; 일치하다
collaborate,함께 일하다
collapse,무너짐: 실패; 무너지다. 붕괴하다; 졸도하다: 급격히 쇠약해지다
collide,부딪치다, 충돌하다; 일치 하지 않다. 상충하다
colloquial,구어체의, 일상회화의
colossal,거대한, 수량 등이 엄청난; 놀라운, 어마어마한
commencement,시작, 개시; 졸업식, 학위 수여식
commensurate,같은 정도의; 적당한, 균형이 잡힌
commiseration,가엾게 여김, 연민; 동정의 말
commodity,상품
commuter,정기권 통근자, 교외 통근자
compassion,측은히 여김, 동정, 연민
compatible,양립할 수 있는, 모순 없는; 호환성의
compel,강요하다. 시키다
compensate,보상하다. 배상하다
competent,유능한, 능력(자격)이 있는
complacent,마음에 흡족한, 자기만족의
complex,복합의, 복잡한, 뒤얽힌; 복합체, 합성물; 복합빌딩: 콤플렉스, 강박관념
compliance,유순, 고분고분함; 응낙, 수락
complicity,공모, 공범: 연루
complimentary,무료의, 초대의; 칭찬하는, 경의를 표하는
composure,침착, 냉정, 평정
compound,혼합의, 합성의: 복잡한; 혼합물, 합성물; 뒤섞다. 혼합하다
comprehensive,포괄적인, 종합적인, 넓은, 광범위한; 이해력이 빠른, 이해가 빠른
