word,meaning
loquacious,수다스러운, 말이 많은
lucrative,이익이 있는, 수지맞는; 유리한
lukewarm,미지근한; 미온적인, 열의가 없는, 마음이 내키지 않는
luminous,빛나는, 번쩍이는; 이해하기 쉬운, 명쾌한
lure,유인하다: 유혹하다; 유인하는 것; 미끼, 가짜미끼: 올가미
magnitude,크기, 양, 규모; 다량, 광대함
maladroit,서투른, 솜씨없는, 요령없는
malady,병, 질병; 혼란, 병폐, 폐해
malign,해도운, 악의가 있는; 악성인
malnourished,영양 불량의
mandatory,강제의, 의무의, 필수의
manifest,명백히 하다. 분명하게 보여주다; 의견을 공표하다: 나타나다; 명백한, 분명한, 일목요연한
marginal,주변적인, 별로 중요하지 않은; 변두리의, 주변의
maritime,바다위의, 해운상의 해상 무역의
maturity,성숙, 원숙, 완성; 만기일
maul,뭇매질하다: 할퀴어 상처내다; 난폭하게 다루다; 혹평하다; 큰 메, 망치
meager,빈약한, 결핍된: 불충분한; 마른, 야윈
meddling,참견하는, 간섭하는; 간섭, 참견
meek,유순한, 온유한 굴종적인
menace,위협하다. 협박하다. 겁주다; 협박, 위협, 공갈; 골칫거리, 말썽꾸러기
mendacity,허위, 거짓말 거짓말하는 버릇
merge,병합하다: 융합하다
messy,어질러진, 흐트러진, 지저분한; 지저분한, 단정치 못한
metamorphosis,변형, 변질, 변태
meticulous,세심한, 꼼꼼한
