word,meaning
obligatory,의무로서 지워지는, 의무적인; 필수의; 구속력이 있는
obliquely,비스듬히; 간접으로
oblivious,알아채지 못하는; 잘 잊어버리는, 건망증이 있는
obscure,분명치 않은, 불명료한: 모호한; 세상에 알려지지 않은; 가리다. 흐리게 하다
obsolete,시대에 뒤떨어진, 구식의; 못쓰게 된, 폐기된
obstinate,완고한, 고집 센, 다루기 힘든; 난치의
obviate,제거하다. 미연에 방지하다
occupation,직업, 업무; 종사; 점유권
odorous,향기로운, 냄새가 나는; 도덕적으로 구린, 부당한
officious,참견하기 좋아하는, 주제넘게 나서는
ominous,불길한, 나쁜 징조의 기분 나쁜; 의 전조가 되는
omniscient,전지의: 박식한
onset,착수, 개시; 습격 공격: 병의 징후
ooze,스며 나오다. 새어 나오다; 분비하다: 새다
orbit,생활의 궤도, 활동 범위: 세력권; 궤도; 주위를 궤도를 그리며 돌다
opposite,마주보고 있는: 반대편의, 맞은 편의; 정반대의 일, 적수; 맞은 편에, 정반대의 위치에
opulent,부유한; 풍부한; 무성한
ostensible,표면상의, 겉으로 만의, 겉치레의
outstanding,눈에 띄는, 현저한 저명한; 미결제의; 미해결의; 쑥 내민
overhaul,철저히 조사하다; 정밀검사; 총점검 정비, 분해검사
panacea,만병 통치약
pandemonium,대혼란, 혼돈; 지옥
paralysis,무기력, 무능; 마비, 불수: 중풍
paramount,최고의; 주요한; 탁월한 훌륭한
parsimony,지나친 절약; 인색
