word,meaning
curse,"저주; 재앙의 원인; 저주하다, 모독하다"
curtail,"짧게 줄이다 단축하다, 생략하다"
custody,"보호, 감독, 후견; 감금, 금고 구류, 구치"
customarily,"습관적으로, 관례상"
cutlery,"식탁용 날붙이; 칼 제조업"
deadlock,"막다른 상태, 교착, 정체; 앞이 막히다, 꼼짝 못하게 하다"
dearth,"기근, 식량부족; 결핍, 부족"
debacle,"붕괴, 와해: 폭락; 대재해: 대홍수, 산사태"
decade,"10년간"
decelerate,"속도를 줄이다, 감속하다"
deceptive,"속이는, 현혹시키는"
decipher,"해독하다, 번역하다"
decline,"정중히 거절하다, 사절하다; 기울다, 쇠퇴하다: 떨어지다, 하락하다; 내리받이: 쇠퇴, 타락"
deduct,"빼다, 공제하다; 가치 등이 떨어지다"
deference,"존경, 경의; 복종"
defiant,"반항적인, 도전적인, 시비조의"
deficiency,"부족, 결핍; 결손, 적자; 결함"
deft,"손재주 있는, 솜씨 좋은"
defunct,"현존하지 않는; 효력을 잃은; 죽은, 고인이 된; 고인, 죽은 사람"
defuse,"위기를 해체하다, 진정시키다: 신관을 제거하다"
degenerate,"퇴화하다: 타락하다; 쇠퇴시키다; 퇴화한, 타락한; 변질된; 타락자, 부도덕한 자"
degrade,"좌천시키다, 강등하다; 품위을 떨어뜨리다; 타락시키다"
deign,"자신을 낮추어하다; 해주다"
deject,"낙심시키다"
deleterious,"해로운, 유해한"
