word,meaning
rip-off,도둑질, 강탈; 사기: 사취
roam,돌아다니다. 거닐다. 배회하다: 방랑하다
robust,강건한, 건장한, 튼튼한
rudimentary,원리의, 기본의, 기초의
rupture,파열, 균열: 결렬, 단절
sagacious,현명한, 영리한, 슬기로운
salutary,유익한, 건전한; 건강에 좋은, 몸에 좋은
salvage,구출: 인명 구조: 해난 구조; 구출하다
sanction,재가, 인가, 시인 허용, 찬성; 인가 재가하다: 시인하다: 찬조하다
sanguine,붉은, 붉은 핏빛의 혈색이 좋은
sap,약화시키다; 밑을 파서 무너뜨리다; 수액: 원기, 생기
scant,부족한, 빈약한, 적은
scrutinize,세밀히 조사하다. 철저히 검사하다
secular,속세의, 현세의 비종교적인
sedative,진정제; 진정작용의 진정시키는
segregate,격리하다, 차별대우를 하다
sensitive,감수성이 예민한, 섬세한 민감한
sentient,감각력이 있는 의식하는
servitude,노예임, 노예 상태, 예속
setback,방해; 좌절; 패배, 실패
settle,놓다. 설치하다; 정주시키다; 해결하다
sheer,완전한, 순전한: 순수한
shrewd,영리한, 날카로운: 빈틈없는, 재빠른
sibling,형제, 자매
simultaneously,동시에; 일제히
