word,meaning
hostile,적의 있는, 적대하는; 적의, 적국의
hubris,오만, 자기 과신
humble,겸손한, 겸허한; 소박한; 비천한, 낮은; 보잘것 없는
humiliate,굴욕감을 느끼게 하다. 창피를 주다
hunch,예감, 직감, 육감; 두꺼운 조각: 덩어리
hush,입다물게 하다. 쉿 하다; 진정시키다. 잠잠하게 하다; 침묵, 고요함: 쉬쉬해 버림
hybrid,잡종의 혼성의; 잡종, 이종: 튀기, 혼혈아; 하이브리드 승용차
hyperbole,과장법
hypnosis,최면 상태: 최면술
hypodermic,피하의, 피하 주사용의
identify,확인하다; 동일시하다
ignominious,불명예스러운, 수치스러운
illustrious,저명한, 유명한, 걸출한; 빛나는, 눈부신
imaginative,상상력이 풍부한 상상하기 좋아하는; 상상의, 가공의, 공상의
imbecility,정신 박약, 저능: 어리석은 말; 무능
imbibe,마시다; 섭취하다: 사상을 흡수하다. 동화하다
immaculate,오점이 없는; 결점 없는 순결한, 티없는
imminent,임박한, 촉박한
immortal,죽지 않는; 불멸의, 불변의 신의; 불멸의 존재, 불사신
immune,면역성의
impact,영향, 감화, 효과; 충돌, 격돌, 충격; 강한 충격을 주다. 격돌하다. 부딪치다
impair,약화시키다: 해치다; 악화되다: 줄다
impartial,치우치지 않은, 편견이 없는; 공평한
impatient,성급한, 참을성 없는; 조바심하는; 몹시 하고 싶어하는
impeccable,죄 없는: 결점 없는, 나무랄 데 없는
